user_id,activity_date,match_type,finish_position,bots,n_matches
1884,2023-12-11,A,1,1,1
5105,2024-02-10,C,3,3,1
398,2023-12-07,A,3,3,2
6822,2023-12-12,C,1,1,10
6841,2024-01-11,A,1,1,1
268,2024-01-11,C,1,1,1
6054,2023-12-28,A,2,2,1
1288,2024-01-14,C,3,0,1
5895,2024-01-16,A,3,3,1
13831,2024-01-01,C,1,1,2
11150,2024-02-14,C,2,2,1
6443,2024-02-02,A,2,2,1
2204,2024-02-22,C,1,1,1
10738,2024-01-14,A,1,1,1
14294,2024-01-26,C,1,1,1
12581,2023-12-05,C,2,0,1
842,2024-02-29,C,2,0,1
6410,2023-12-05,A,4,4,1
9012,2024-02-10,A,4,4,1
10897,2024-02-09,C,2,2,1
11150,2023-12-25,C,,4,1
3972,2023-12-21,C,4,4,1
12944,2024-01-14,C,1,1,1
7157,2023-12-28,C,2,2,1
8432,2023-12-04,A,1,0,1
6173,2024-02-22,C,4,4,1
144,2023-12-15,C,1,1,2
2036,2024-01-22,A,4,4,1
4652,2024-01-03,C,4,4,1
3505,2023-12-30,C,1,1,1
6054,2023-12-09,C,1,1,1
6351,2024-02-23,C,3,3,1
5454,2024-02-05,A,2,0,1
6065,2023-12-12,A,1,1,2
11150,2024-02-26,C,2,2,2
2849,2023-12-16,C,4,4,1
8507,2023-12-10,C,2,2,1
12472,2024-01-31,A,3,3,1
864,2024-01-28,C,3,3,1
8232,2024-01-09,A,1,1,2
8232,2024-01-05,A,1,1,1
13619,2024-01-29,A,4,0,1
7271,2024-02-16,C,1,1,1
9790,2024-02-27,A,1,1,1
341,2024-02-26,A,4,0,1
1243,2024-01-16,A,3,3,1
5704,2024-01-21,C,3,0,1
2272,2023-12-12,A,4,4,3
3166,2024-02-01,C,4,4,1
5454,2024-01-07,C,3,3,1
2543,2023-12-16,C,3,0,1
842,2024-01-07,C,2,2,1
2713,2024-02-10,C,4,4,1
3889,2024-02-12,C,4,0,1
2104,2024-01-31,A,1,1,1
11985,2024-01-12,A,2,2,1
9966,2024-02-28,C,4,0,1
10897,2024-02-02,A,4,4,1
1052,2024-02-25,C,1,1,1
2204,2024-02-09,A,3,3,2
5440,2023-12-22,A,4,4,1
8232,2024-02-22,A,2,2,1
1085,2024-02-06,A,2,2,1
8911,2024-01-05,C,1,1,1
3166,2023-12-25,A,3,3,2
268,2023-12-30,C,4,4,1
11162,2024-01-08,C,1,0,1
10997,2024-01-12,C,2,2,1
4836,2024-01-21,B,3,3,1
258,2024-02-25,C,3,3,1
6841,2023-12-30,A,3,3,1
4860,2024-02-28,A,2,2,1
1911,2024-02-28,C,1,0,1
794,2024-01-19,C,4,4,1
4211,2023-12-29,A,2,2,1
10340,2024-01-07,C,3,3,1
4529,2023-12-05,C,4,4,1
7196,2023-12-22,A,2,2,2
6822,2024-02-25,B,1,0,1
9012,2024-02-03,A,3,3,2
10148,2024-01-15,B,4,0,1
3161,2024-02-08,C,4,0,3
5110,2023-12-09,C,,4,1
7913,2024-02-09,C,1,1,1
8232,2023-12-20,C,2,0,1
5618,2024-02-15,A,1,1,2
5105,2024-01-28,C,4,4,1
14206,2023-12-21,B,4,4,1
1034,2023-12-08,C,3,3,1
12113,2024-01-12,C,4,0,1
5192,2024-01-16,A,4,4,1
4860,2023-12-27,C,1,1,2
4006,2023-12-02,A,2,2,1
13831,2024-01-13,B,3,3,1
864,2024-02-24,C,2,2,1
864,2024-01-28,C,4,4,1
12472,2024-02-22,C,1,1,1
268,2023-12-05,C,2,2,1
11449,2024-01-06,C,4,4,1
842,2024-01-14,C,1,1,1
14837,2024-02-22,A,1,0,1
842,2024-01-15,C,1,0,1
9602,2024-01-22,C,2,2,1
9050,2023-12-23,C,3,3,1
6116,2023-12-10,C,2,2,1
6841,2023-12-22,A,1,1,1
1050,2024-01-28,A,3,3,1
5804,2024-02-14,C,4,4,1
1288,2023-12-03,C,4,0,2
5410,2024-01-05,C,2,0,2
9119,2024-01-04,A,2,0,1
12067,2023-12-27,A,1,1,1
7524,2024-02-18,A,1,0,1
4676,2023-12-16,C,3,3,1
16002,2024-01-04,C,4,0,1
1946,2024-02-15,C,1,1,1
7750,2023-12-17,C,3,3,1
1964,2024-02-09,C,3,3,1
7188,2024-01-21,C,,4,1
268,2023-12-12,A,1,1,1
6771,2024-02-20,C,2,0,1
10533,2023-12-23,C,3,3,1
1389,2024-02-05,C,2,2,1
889,2024-01-30,C,3,3,1
2138,2023-12-08,C,1,0,1
8319,2024-02-02,C,3,3,1
598,2024-02-12,C,,4,1
13973,2024-02-29,A,2,0,1
998,2024-01-24,A,2,0,1
10669,2023-12-10,C,1,0,1
6850,2024-02-25,C,2,2,1
5895,2024-02-29,A,2,2,1
7761,2024-02-10,A,3,3,1
16353,2023-12-14,C,4,4,1
