,user_id,platform,activity_date,acquisition_date
1427,4368,ios,2024-01-27,2024-01-22
1470,4379,android,2024-03-01,2024-01-09
1472,4383,android,2024-01-02,2024-01-01
1480,4408,android,2024-02-18,2024-01-25
1487,4419,android,2024-02-05,2024-01-23
1489,4427,android,2024-02-05,2024-01-31
1490,4462,android,2024-02-11,2024-01-31
1491,4470,android,2024-01-30,2024-01-30
1492,4485,android,2024-01-10,2024-01-10
1494,4487,android,2024-01-30,2024-01-19
1498,4488,ios,2024-01-21,2024-01-01
1499,4503,android,2024-01-30,2024-01-30
1517,4511,android,2024-02-03,2024-01-12
1518,4528,ios,2024-01-15,2024-01-13
1519,4558,android,2024-01-14,2024-01-14
1538,4561,android,2024-03-01,2024-01-02
1539,4587,android,2024-01-20,2024-01-20
1541,4597,android,2024-02-03,2024-01-26
1542,4599,android,2024-01-03,2024-01-03
1546,4608,android,2024-02-08,2024-01-08
1548,4617,android,2024-01-27,2024-01-22
1549,4629,android,2024-01-29,2024-01-29
1551,4644,android,2024-01-30,2024-01-26
1552,4649,android,2024-01-17,2024-01-15
1553,4669,android,2024-02-25,2024-01-15
1555,4720,android,2024-01-30,2024-01-15
1581,4722,android,2024-03-01,2024-01-21
1583,4734,ios,2024-02-21,2024-01-07
1586,4758,android,2024-01-14,2024-01-12
1587,4781,ios,2024-01-23,2024-01-15
1588,4799,android,2024-01-17,2024-01-12
1591,4805,android,2024-02-09,2024-01-02
1610,4808,ios,2024-03-01,2024-01-22
1613,4827,android,2024-02-05,2024-01-14
1614,4835,ios,2024-01-24,2024-01-24
1620,4851,android,2024-03-01,2024-01-20
1622,4871,android,2024-02-04,2024-01-10
1627,4904,android,2024-02-23,2024-01-13
1637,4905,android,2024-02-28,2024-01-04
1639,4906,android,2024-01-12,2024-01-08
1640,4908,android,2024-01-31,2024-01-31
1650,4935,android,2024-02-24,2024-01-11
1655,5009,android,2024-02-21,2024-01-22
1656,5013,android,2024-01-28,2024-01-13
1657,5067,android,2024-01-08,2024-01-08
1674,5083,android,2024-02-29,2024-01-01
1675,5093,ios,2024-01-15,2024-01-15
1683,5098,ios,2024-02-29,2024-01-20
1704,5110,android,2024-03-01,2024-01-10
1706,5111,android,2024-01-13,2024-01-09
1708,5117,android,2024-02-17,2024-01-31
1712,5118,android,2024-02-22,2024-01-24
1714,5129,android,2024-01-16,2024-01-11
1715,5130,android,2024-01-09,2024-01-09
1716,5145,android,2024-01-27,2024-01-27
1717,5165,android,2024-01-21,2024-01-18
1743,5169,android,2024-02-28,2024-01-19
1744,5179,android,2024-01-02,2024-01-02
1750,5209,android,2024-02-18,2024-01-29
1787,5213,android,2024-02-18,2024-01-10
1788,5239,android,2024-01-11,2024-01-11
1795,5252,android,2024-02-27,2024-01-16
1797,5260,android,2024-01-12,2024-01-06
1798,5261,android,2024-01-10,2024-01-10
1803,5321,android,2024-01-21,2024-01-06
1806,5350,android,2024-02-28,2024-01-19
1809,5368,android,2024-02-08,2024-01-18
1810,5370,android,2024-01-11,2024-01-11
1815,5377,ios,2024-02-09,2024-01-16
1816,5386,android,2024-01-03,2024-01-03
1817,5405,android,2024-01-21,2024-01-20
1819,5422,android,2024-01-18,2024-01-08
1832,5445,android,2024-03-01,2024-01-11
1847,5482,android,2024-02-28,2024-01-29
1848,5527,ios,2024-01-07,2024-01-07
1849,5528,android,2024-02-23,2024-01-25
1857,5606,ios,2024-02-03,2024-01-12
1858,5611,android,2024-01-01,2024-01-01
1874,5622,android,2024-02-28,2024-01-19
1875,5623,android,2024-01-20,2024-01-20
1876,5629,ios,2024-01-17,2024-01-16
1877,5664,android,2024-02-09,2024-01-23
1891,5665,android,2024-02-25,2024-01-13
1893,5675,android,2024-01-17,2024-01-02
1900,5686,android,2024-01-18,2024-01-09
1903,5688,android,2024-01-11,2024-01-06
1931,5690,android,2024-02-29,2024-01-17
1949,5692,android,2024-02-05,2024-01-09
1953,5694,android,2024-01-18,2024-01-05
1954,5695,android,2024-01-15,2024-01-15
1956,5704,android,2024-01-05,2024-01-04
1957,5714,android,2024-02-21,2024-01-05
1960,5735,ios,2024-01-25,2024-01-04
1986,5747,android,2024-03-01,2024-01-14
1987,5755,android,2024-01-11,2024-01-03
1988,5775,ios,2024-01-10,2024-01-09
1989,5790,android,2024-01-28,2024-01-28
1993,5806,ios,2024-01-29,2024-01-17
2012,5842,android,2024-02-25,2024-01-13
2020,5869,android,2024-02-01,2024-01-10
2029,5912,android,2024-02-07,2024-01-19
2033,5921,android,2024-01-31,2024-01-27
2034,5924,android,2024-01-16,2024-01-16
2035,5949,android,2024-01-23,2024-01-23
2059,5953,android,2024-03-01,2024-01-21
2062,5957,android,2024-01-13,2024-01-06
2064,5964,android,2024-02-13,2024-01-24
2065,5969,android,2024-01-27,2024-01-27
2074,5971,android,2024-02-28,2024-01-23
2075,5972,android,2024-01-23,2024-01-22
2077,5981,android,2024-02-01,2024-01-05
2079,5993,android,2024-01-14,2024-01-13
2080,6007,android,2024-01-03,2024-01-03
2092,6014,android,2024-02-29,2024-01-28
2095,6015,android,2024-02-02,2024-01-15
2096,6020,android,2024-01-08,2024-01-08
2101,6026,android,2024-01-16,2024-01-11
2103,6029,android,2024-02-10,2024-01-29
2110,6071,android,2024-02-12,2024-01-01
2116,6084,android,2024-02-06,2024-01-26
2117,6097,android,2024-01-02,2024-01-02
2120,6125,android,2024-01-16,2024-01-14
2122,6142,android,2024-02-20,2024-01-28
2126,6149,android,2024-02-11,2024-01-24
2127,6179,android,2024-01-29,2024-01-29
2128,6219,android,2024-01-22,2024-01-22
2129,6255,android,2024-01-29,2024-01-29
2130,6275,android,2024-01-20,2024-01-20
2131,6278,android,2024-01-09,2024-01-08
2133,6281,android,2024-02-26,2024-01-07
2134,6309,ios,2024-01-30,2024-01-30
2135,6317,android,2024-01-18,2024-01-18
2136,6318,android,2024-01-25,2024-01-25
2137,6332,ios,2024-01-22,2024-01-22
2140,6334,android,2024-01-20,2024-01-02
2141,6343,android,2024-01-26,2024-01-08
2149,6366,android,2024-02-24,2024-01-27
2150,6371,android,2024-01-23,2024-01-23
2151,6378,android,2024-01-30,2024-01-30
2152,6474,android,2024-01-23,2024-01-09
2153,6494,ios,2024-01-20,2024-01-20
2155,6518,android,2024-02-11,2024-01-21
2156,6526,android,2024-01-07,2024-01-05
2160,6527,android,2024-01-25,2024-01-21
2161,6553,android,2024-01-31,2024-01-31
2163,6558,android,2024-01-29,2024-01-02
2177,6577,android,2024-02-18,2024-01-03
2178,6599,android,2024-01-06,2024-01-03
2179,6600,android,2024-02-25,2024-01-03
2180,6645,android,2024-01-17,2024-01-17
2187,6665,android,2024-02-09,2024-01-30
2188,6669,android,2024-01-15,2024-01-15
2189,6670,android,2024-01-26,2024-01-26
2190,6692,android,2024-01-18,2024-01-18
2210,6706,android,2024-03-01,2024-01-25
